Kategorie,Bayern,Baden,Berlin,Brandenburg,Bremen,Hamburg,Hessen,Mecklenburg,Niedersachsen,Nordrhein,Rheinland,Saarland,Sachsen,SachsenA,Schleswig,Thüringen
2019-01-06,1,1,1,0,0,1,1,0,1,1,1,0,1,0,1,0
2019-01-13,1,1,0,1,0,1,1,1,1,1,1,1,0,0,0,1
2019-01-20,1,1,1,1,0,0,1,0,1,1,1,0,1,0,1,0
2019-01-27,1,1,1,0,0,1,1,0,1,1,1,0,1,1,1,1
2019-02-03,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1
2019-02-10,1,1,1,0,0,1,1,0,1,1,1,0,0,0,1,1
2019-02-17,1,1,1,1,0,0,1,0,1,1,1,0,0,1,1,1
2019-02-24,1,1,1,1,0,0,1,0,1,1,1,0,1,0,1,1
2019-03-03,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,0
2019-03-10,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1
2019-03-17,1,1,1,0,0,1,1,0,1,1,1,1,1,0,1,1
2019-03-24,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1
2019-03-31,1,1,1,0,0,0,1,1,1,1,1,0,0,1,0,0
2019-04-07,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1
2019-04-14,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1
2019-04-21,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0
2019-04-28,1,1,1,1,0,0,1,1,1,1,1,0,1,0,1,0
2019-05-05,1,1,1,1,1,0,1,0,1,1,1,0,1,0,1,0
2019-05-12,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1
2019-05-19,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0
2019-05-26,1,1,0,1,0,0,1,1,1,1,1,0,1,1,1,0
2019-06-02,1,1,1,1,0,0,1,1,1,1,1,0,1,0,1,1
2019-06-09,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0
2019-06-16,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,1
2019-06-23,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0
2019-06-30,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0,0
2019-07-07,1,1,1,0,1,1,1,0,1,1,1,0,1,0,0,1
2019-07-14,1,1,1,1,1,0,1,0,1,1,1,1,0,0,1,1
2019-07-21,1,1,1,0,1,0,1,1,1,1,1,1,0,0,1,0
2019-07-28,1,1,1,1,0,1,1,0,1,1,1,0,1,1,1,0
2019-08-04,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1
2019-08-11,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1
