date,value
2019-01-06,61
2019-01-13,63
2019-01-20,56
2019-01-27,58
2019-02-03,58
2019-02-10,52
2019-02-17,51
2019-02-24,50
2019-03-03,51
2019-03-10,48
2019-03-17,50
2019-03-24,47
2019-03-31,45
2019-04-07,50
2019-04-14,53
2019-04-21,52
2019-04-28,51
2019-05-05,47
2019-05-12,42
2019-05-19,41
2019-05-26,49
2019-06-02,41
2019-06-09,47
2019-06-16,46
2019-06-23,40
2019-06-30,45
2019-07-07,50
2019-07-14,53
2019-07-21,48
2019-07-28,48
2019-08-04,45
2019-08-11,45
2019-08-18,43
2019-08-25,42
2019-09-01,45
2019-09-08,47
2019-09-15,48
2019-09-22,48
2019-09-29,57
2019-10-06,52
2019-10-13,50
2019-10-20,51
2019-10-27,58
2019-11-03,52
2019-11-10,56
2019-11-17,53
2019-11-24,48
2019-12-01,48
2019-12-08,51
2019-12-15,61
2019-12-22,93
2019-12-29,79
2020-01-05,62
2020-01-12,51
2020-01-19,54
2020-01-26,54
2020-02-02,51
2020-02-09,52
2020-02-16,51
2020-02-23,54
2020-03-01,48
2020-03-08,48
2020-03-15,75
2020-03-22,79
2020-03-29,82
2020-04-05,72
2020-04-12,72
2020-04-19,65
2020-04-26,70
2020-05-03,59
2020-05-10,58
2020-05-17,57
2020-05-24,53
2020-05-31,56
2020-06-07,59
2020-06-14,53
2020-06-21,48
2020-06-28,55
2020-07-05,54
2020-07-12,54
2020-07-19,53
2020-07-26,51
2020-08-02,47
2020-08-09,46
2020-08-16,52
2020-08-23,55
2020-08-30,52
2020-09-06,50
2020-09-13,47
2020-09-20,52
2020-09-27,54
2020-10-04,53
2020-10-11,53
2020-10-18,61
2020-10-25,61
2020-11-01,55
2020-11-08,58
2020-11-15,58
2020-11-22,55
2020-11-29,57
2020-12-06,57
2020-12-13,66
2020-12-20,92
2020-12-27,100
