Woche,baumarkt: (Deutschland)
2019-01-06,29
2019-01-13,28
2019-01-20,28
2019-01-27,26
2019-02-03,28
2019-02-10,32
2019-02-17,34
2019-02-24,35
2019-03-03,41
2019-03-10,34
2019-03-17,40
2019-03-24,42
2019-03-31,45
2019-04-07,44
2019-04-14,53
2019-04-21,49
2019-04-28,44
2019-05-05,40
2019-05-12,43
2019-05-19,41
2019-05-26,53
2019-06-02,49
2019-06-09,42
2019-06-16,47
2019-06-23,53
2019-06-30,44
2019-07-07,42
2019-07-14,42
2019-07-21,48
2019-07-28,40
2019-08-04,43
2019-08-11,37
2019-08-18,39
2019-08-25,38
2019-09-01,36
2019-09-08,35
2019-09-15,34
2019-09-22,36
2019-09-29,44
2019-10-06,34
2019-10-13,34
2019-10-20,32
2019-10-27,34
2019-11-03,31
2019-11-10,35
2019-11-17,34
2019-11-24,35
2019-12-01,35
2019-12-08,33
2019-12-15,35
2019-12-22,43
2019-12-29,40
2020-01-05,30
2020-01-12,31
2020-01-19,30
2020-01-26,32
2020-02-02,33
2020-02-09,34
2020-02-16,36
2020-02-23,35
2020-03-01,38
2020-03-08,39
2020-03-15,82
2020-03-22,86
2020-03-29,84
2020-04-05,100
2020-04-12,85
2020-04-19,84
2020-04-26,76
2020-05-03,69
2020-05-10,64
2020-05-17,74
2020-05-24,67
2020-05-31,62
2020-06-07,59
2020-06-14,51
2020-06-21,62
2020-06-28,54
2020-07-05,49
2020-07-12,51
2020-07-19,49
2020-07-26,50
2020-08-02,54
2020-08-09,51
2020-08-16,44
2020-08-23,42
2020-08-30,43
2020-09-06,41
2020-09-13,39
2020-09-20,41
2020-09-27,37
2020-10-04,41
2020-10-11,41
2020-10-18,39
2020-10-25,36
2020-11-01,36
2020-11-08,41
2020-11-15,41
2020-11-22,41
2020-11-29,42
2020-12-06,43
2020-12-13,72
2020-12-20,32
2020-12-27,40
